,Name,Link2,Link,Code,happy,sad,surprise,fear,disgust,angry,neutral
128,"Bhula Dena (Aashiqui 2) | Aditya Roy Kapur Shraddha Kapoor ",https://www.youtube.com/watch?v=g8LEktKv9hs,https://www.youtube.com/embed/g8LEktKv9hs,g8LEktKv9hs,0,1,0,1,1,0,0
129,TOSE NAINA,https://www.youtube.com/watch?v=qq1LxHVnti4,https://www.youtube.com/embed/qq1LxHVnti4,qq1LxHVnti4,1,0,1,0,1,0,1
130,Qaafirana ,https://www.youtube.com/watch?v=Kf781IbMQXk,https://www.youtube.com/embed/Kf781IbMQXk,Kf781IbMQXk,1,0,1,0,0,1,1
131,MITTI DI KHUSHBOO,https://www.youtube.com/watch?v=UMRAhxxBO-E,https://www.youtube.com/embed/UMRAhxxBO-E,UMRAhxxBO-E,1,0,0,0,1,1,1
132,Chal Wahan Jaate Hain ,https://www.youtube.com/watch?v=HjKSkhqK4WE,https://www.youtube.com/embed/HjKSkhqK4WE,HjKSkhqK4WE,1,0,1,0,1,0,1
133,Toh Phir Aao (Sad) | Mustafa Zahid | Awarapan | Emraan Hashmi | Full Audio Song ,https://www.youtube.com/watch?v=J-ciGRKON18,https://www.youtube.com/embed/J-ciGRKON18,J-ciGRKON18,0,1,0,1,0,0,1
134,Dil Tod Ke ,https://www.youtube.com/watch?v=SSlfGCT-2Q0,https://www.youtube.com/embed/SSlfGCT-2Q0,SSlfGCT-2Q0,0,1,0,1,0,0,1
135,Give Me Some Sunshine - 3 Idiots,https://www.youtube.com/watch?v=lbCRtrrMvSw,https://www.youtube.com/embed/lbCRtrrMvSw,lbCRtrrMvSw,1,0,1,1,1,0,1
136,Maston Ka Jhund Full Video - Bhaag Milkha Bhaag|Farhan Akhtar|Divya Kumar|Prasoon Joshi ,https://www.youtube.com/watch?v=yWeVII7qF3A,https://www.youtube.com/embed/yWeVII7qF3A,yWeVII7qF3A,1,0,1,1,0,0,1
137,"Kar Har Maidaan Fateh (From ""Sanju"") ",https://www.youtube.com/watch?v=TDF_KVcC4Qg,https://www.youtube.com/embed/TDF_KVcC4Qg,TDF_KVcC4Qg,1,0,1,0,1,0,0
138,Aabaad Barbaad,https://www.youtube.com/watch?v=N0ngg3KnFVs,https://www.youtube.com/embed/N0ngg3KnFVs,N0ngg3KnFVs,1,0,0,0,1,1,1
139,Tera Yaar Hoon Main ,https://www.youtube.com/watch?v=Jkj8c3kvpBo,https://www.youtube.com/embed/Jkj8c3kvpBo,Jkj8c3kvpBo,1,0,0,0,1,1,1
140,Makhna ,https://www.youtube.com/watch?v=U13aOFC9Oic,https://www.youtube.com/embed/U13aOFC9Oic,U13aOFC9Oic,1,0,1,0,0,0,1
141,"Bewafa Tera Muskurana Song | Meet Bros Ft. Jubin Nautiyal |Himansh K Akanksha P|Rashmi V Bhushan K ",https://www.youtube.com/watch?v=-JEPg3gsiII,https://www.youtube.com/embed/-JEPg3gsiII,#NAME?,0,1,1,1,0,0,0
142,Lat Lag Gayee ,https://www.youtube.com/watch?v=H9pv_BZ2PGA,https://www.youtube.com/embed/H9pv_BZ2PGA,H9pv_BZ2PGA,1,0,1,0,0,0,1
143,"Kaise Hua (From ""Kabir Singh"")",https://www.youtube.com/watch?v=WKv07mnKVEE,https://www.youtube.com/embed/WKv07mnKVEE,WKv07mnKVEE,1,0,1,0,1,0,1
144,Bakhuda Tumhi Ho | Atif Aslam & Alka Yagnik | Pritam,https://www.youtube.com/watch?v=Jpq9tm0gnTM,https://www.youtube.com/embed/Jpq9tm0gnTM,Jpq9tm0gnTM,1,0,1,0,1,0,1
145,Kya hua tera wada |ATIF ASLAM,https://www.youtube.com/watch?v=pBGq6vNHpMQ,https://www.youtube.com/embed/pBGq6vNHpMQ,pBGq6vNHpMQ,1,1,0,1,1,0,1
146,Tum Tak,https://www.youtube.com/watch?v=Wq1zDZ81YhU,https://www.youtube.com/embed/Wq1zDZ81YhU,Wq1zDZ81YhU,1,0,1,0,1,0,1
147,Tera Ghata,https://www.youtube.com/watch?v=mEMHF5W4zlY,https://www.youtube.com/embed/mEMHF5W4zlY,mEMHF5W4zlY,1,1,0,1,1,0,0
148,Ishq Wala Love Full Video - SOTY |Neeti Mohan,https://www.youtube.com/watch?v=VmH8tELQ3aE,https://www.youtube.com/embed/VmH8tELQ3aE,VmH8tELQ3aE,1,0,0,0,1,1,1
149,Kabira (Yeh Jawaani Hai Deewani)  Pritam,https://www.youtube.com/watch?v=jHNNMj5bNQw,https://www.youtube.com/embed/jHNNMj5bNQw,jHNNMj5bNQw,1,0,1,0,1,0,1
150,Chan Kitthan Song | Ayushmann | Rochak | Kumaar,https://www.youtube.com/watch?v=JFYCc577kjQ,https://www.youtube.com/embed/JFYCc577kjQ,JFYCc577kjQ,1,0,0,0,1,1,1
