,Name,Link2,Link,Code,happy,sad,surprise,fear,disgust,angry,neutral
14,Chand sifarifs,https://youtu.be/QocxkL3CC40,https://www.youtube.com/embed/QocxkL3CC40,QocxkL3CC40,1,0,0,0,1,1,1
15,Tujh Mein Rab Dikhta Hai,https://youtu.be/Pu2hQhDEiiM,https://www.youtube.com/embed/Pu2hQhDEiiM,Pu2hQhDEiiM,1,0,0,0,1,1,1
16,ABHI KUCH DINO SE,https://www.youtube.com/watch?v=DEatLVqGuTo,https://www.youtube.com/embed/DEatLVqGuTo,DEatLVqGuTo,1,0,0,0,1,1,1
17,MERA MANN KEHNE LAGA,https://www.youtube.com/watch?v=wQDx6L-t-mk,https://www.youtube.com/embed/wQDx6L-t-mk,wQDx6L-t-mk,1,0,0,0,0,1,1
18,Phir Se Ud Chala,https://www.youtube.com/watch?v=-3gQ6HIkRys,https://www.youtube.com/embed/-3gQ6HIkRys,-3gQ6HIkRys,1,0,0,0,1,0,1
19,Mere Bina,https://www.youtube.com/watch?v=3chj4ooasmE,https://www.youtube.com/embed/3chj4ooasmE,3chj4ooasmE,1,0,0,0,1,1,1
20,Bol  Do Na Zara,https://www.youtube.com/watch?v=2Y3Wsdq-MN8,https://www.youtube.com/embed/2Y3Wsdq-MN8,2Y3Wsdq-MN8,1,0,0,0,1,1,1
21,Kuch Na Kaho,https://www.youtube.com/watch?v=3A1LgFkIPfA,https://www.youtube.com/embed/3A1LgFkIPfA,3A1LgFkIPfA,1,0,0,0,1,0,1
22,Hawayein (Jab Harry Met Sejal),https://www.youtube.com/watch?v=ii9KLQoV78I,https://www.youtube.com/embed/ii9KLQoV78I,ii9KLQoV78I,1,0,0,0,0,1,1
23,Paniyon Sa (Satyameva Jayate),https://www.youtube.com/watch?v=hpM7D-d1wXk,https://www.youtube.com/embed/hpM7D-d1wXk,hpM7D-d1wXk,1,0,1,0,0,1,1
24,Hangover (Kick),https://www.youtube.com/watch?v=5lKv7kdzBZs,https://www.youtube.com/embed/5lKv7kdzBZs,5lKv7kdzBZs,1,0,1,0,0,1,1
25,"Tu Hi Haqeeqat (From ""Tum Mile"") ",https://www.youtube.com/watch?v=wVdswCeVdHU,https://www.youtube.com/embed/wVdswCeVdHU,wVdswCeVdHU,1,0,1,0,1,1,1
26,"Judaai (From ""Badlapur) ",https://www.youtube.com/watch?v=urm3N9N-Nu4,https://www.youtube.com/embed/urm3N9N-Nu4,urm3N9N-Nu4,0,1,0,1,0,0,0
27,"Shayad (From ""Love Aaj Kal"") ",https://www.youtube.com/watch?v=EQxEms7gnqs,https://www.youtube.com/embed/EQxEms7gnqs,EQxEms7gnqs,1,0,1,0,1,0,1
28,ITNI SI BAAT HAIN,https://www.youtube.com/watch?v=MzKvcV0Re7U,https://www.youtube.com/embed/MzKvcV0Re7U,MzKvcV0Re7U,1,0,0,0,1,1,1
