S. No,Name,Link2,Link,Code,happy,sad,surprise,fear,disgust,angry,neutral,,
22,Kuch Na Kaho,https://www.youtube.com/watch?v=3A1LgFkIPfA,https://www.youtube.com/embed/3A1LgFkIPfA,3A1LgFkIPfA,1,0,0,0,1,0,1,,
23,Hawayein (Jab Harry Met Sejal),https://www.youtube.com/watch?v=ii9KLQoV78I,https://www.youtube.com/embed/ii9KLQoV78I,ii9KLQoV78I,1,0,0,0,0,1,1,,
24,Paniyon Sa (Satyameva Jayate),https://www.youtube.com/watch?v=hpM7D-d1wXk,https://www.youtube.com/embed/hpM7D-d1wXk,hpM7D-d1wXk,1,0,1,0,0,1,1,,
25,Hangover (Kick),https://www.youtube.com/watch?v=5lKv7kdzBZs,https://www.youtube.com/embed/5lKv7kdzBZs,5lKv7kdzBZs,1,0,1,0,0,1,1,,
26,"Tu Hi Haqeeqat (From ""Tum Mile"") ",https://www.youtube.com/watch?v=wVdswCeVdHU,https://www.youtube.com/embed/wVdswCeVdHU,wVdswCeVdHU,1,0,1,0,1,1,1,,
27,"Judaai (From ""Badlapur) ",https://www.youtube.com/watch?v=urm3N9N-Nu4,https://www.youtube.com/embed/urm3N9N-Nu4,urm3N9N-Nu4,0,1,0,1,0,0,0,,
28,"Shayad (From ""Love Aaj Kal"") ",https://www.youtube.com/watch?v=EQxEms7gnqs,https://www.youtube.com/embed/EQxEms7gnqs,EQxEms7gnqs,1,0,1,0,1,0,1,,
29,ITNI SI BAAT HAIN,https://www.youtube.com/watch?v=MzKvcV0Re7U,https://www.youtube.com/embed/MzKvcV0Re7U,MzKvcV0Re7U,1,0,0,0,1,1,1,,
30,Tenu Na Bol Pawaan ,https://www.youtube.com/watch?v=Pz8Q61LAmeE,https://www.youtube.com/embed/Pz8Q61LAmeE,Pz8Q61LAmeE,1,0,0,0,1,0,1,,
31,Ranjha ,https://www.youtube.com/watch?v=H2U6Ce5e8MQ,https://www.youtube.com/embed/H2U6Ce5e8MQ,H2U6Ce5e8MQ,1,0,1,0,0,0,1,,
32,Humdard ,https://www.youtube.com/watch?v=st1gBSePIfg,https://www.youtube.com/embed/st1gBSePIfg,st1gBSePIfg,0,1,0,1,1,0,0,,
33,AAPKA KYA HOGA (DHANNO) ,https://www.youtube.com/watch?v=cSoSas9o2oE,https://www.youtube.com/embed/cSoSas9o2oE,cSoSas9o2oE,1,0,1,0,1,0,0,,
34,HAR KISI KO (Boss),https://www.youtube.com/watch?v=DTOshzP5BEQ,https://www.youtube.com/embed/DTOshzP5BEQ,DTOshzP5BEQ,1,0,1,0,1,0,1,,
35,"Humnava (From ""Hamari Adhuri Kahani"") ",https://www.youtube.com/watch?v=CsQqGDpo8Hg,https://www.youtube.com/embed/CsQqGDpo8Hg,CsQqGDpo8Hg,1,0,0,0,1,1,1,,
36,SOCH NA SAKE (Airlift),https://www.youtube.com/watch?v=hp02FwlpQYU,https://www.youtube.com/embed/hp02FwlpQYU,hp02FwlpQYU,1,0,0,0,1,1,1,,
37,MAST MAGAN ,https://www.youtube.com/watch?v=InD68CDGT9Q,https://www.youtube.com/embed/InD68CDGT9Q,InD68CDGT9Q,1,0,0,0,1,1,1,,
38,Tujhe Bhula Diya ,https://www.youtube.com/watch?v=o-9VdyXZKsQ,https://www.youtube.com/embed/o-9VdyXZKsQ,o-9VdyXZKsQ,0,1,0,1,1,0,0,,
39,Tera Hone Laga Hoon ,https://www.youtube.com/watch?v=oeYgD5w3NQo,https://www.youtube.com/embed/oeYgD5w3NQo,oeYgD5w3NQo,1,0,0,0,0,1,1,,
40,Jogi ,https://www.youtube.com/watch?v=D78UzqpxIQU,https://www.youtube.com/embed/D78UzqpxIQU,D78UzqpxIQU,1,0,0,0,0,1,1,,
41,Thoda Thoda Pyaar ,https://www.youtube.com/watch?v=NoucUuveKJ8,https://www.youtube.com/embed/NoucUuveKJ8,NoucUuveKJ8,1,0,1,0,1,1,1,,
42,"Enna Sona (From ""OK Jaanu"") ",https://www.youtube.com/watch?v=8dlTXzaP_8Q,https://www.youtube.com/embed/8dlTXzaP_8Q,8dlTXzaP_8Q,1,0,1,0,0,1,1,,
43,Main Dhoondne Ko Zamaane Mein ,https://www.youtube.com/watch?v=FQyKzz3NFcc,https://www.youtube.com/embed/FQyKzz3NFcc,FQyKzz3NFcc,0,1,0,1,0,0,0,,
44,Naino Ne Baandhi ,https://www.youtube.com/watch?v=hsxufO5sIQs,https://www.youtube.com/embed/hsxufO5sIQs,hsxufO5sIQs,1,0,0,0,0,1,1,,
45,AAJ DIN CHADHEYA | Love Aaj Kal | ,https://www.youtube.com/watch?v=YSWMbwQuWAY,https://www.youtube.com/embed/YSWMbwQuWAY,YSWMbwQuWAY,1,0,1,0,1,1,1,,
46,Jaan 'Nisaar (Arijit) ,https://www.youtube.com/watch?v=3HlzLiCL9Xs,https://www.youtube.com/embed/3HlzLiCL9Xs,3HlzLiCL9Xs,1,0,0,0,1,1,1,,
47,Tera Chehra | Sanam Teri Kasam ,https://www.youtube.com/watch?v=o6MPAXnCm4o,https://www.youtube.com/embed/o6MPAXnCm4o,o6MPAXnCm4o,1,0,0,0,1,1,1,,
48,Jaan Ban Gaye ,https://www.youtube.com/watch?v=82P9aa28DoE,https://www.youtube.com/embed/82P9aa28DoE,82P9aa28DoE,1,0,0,0,0,1,1,,
49,Bakhuda Tumhi Ho | Atif Aslam | Alka Yagnik | Kismat Konnection | 2009 ,https://www.youtube.com/watch?v=MA2XFam0d3A,https://www.youtube.com/embed/MA2XFam0d3A,MA2XFam0d3A,1,0,1,0,1,1,1,,
50,"Surili Akhiyon Wale (From ""Veer"") ",https://www.youtube.com/watch?v=cNBDBalwWKY,https://www.youtube.com/embed/cNBDBalwWKY,cNBDBalwWKY,1,0,0,0,1,1,1,,
51,Tune Jo Na Kaha ,https://www.youtube.com/watch?v=01HR1uP4kic,https://www.youtube.com/embed/01HR1uP4kic,01HR1uP4kic,0,1,0,1,0,1,1,,
52,Lag Jaa Gale (Acoustic) | Sanam ,https://www.youtube.com/watch?v=HnLtNrvfZTU,https://www.youtube.com/embed/HnLtNrvfZTU,HnLtNrvfZTU,1,0,1,0,1,1,1,,
53,Mera Pyar Tera Pyar ,https://www.youtube.com/watch?v=ylCOa4mdIvE,https://www.youtube.com/embed/ylCOa4mdIvE,ylCOa4mdIvE,1,0,0,0,0,1,1,,
54,"Tere Bin (From ""Simmba"") ",https://www.youtube.com/watch?v=P84DXiycs9c,https://www.youtube.com/embed/P84DXiycs9c,P84DXiycs9c,1,0,1,0,1,1,1,,
55,WAJAH TUM HO ,https://www.youtube.com/watch?v=UF9kvy51_F0,https://www.youtube.com/embed/UF9kvy51_F0,UF9kvy51_F0,1,0,1,0,0,0,1,,
